scheme,gates,assays_per_lot,escape_rate,escaped_per_season,condemned_per_season
individual,1,1.0,0.020000000000000018,4.0000000000000036,38.000000000000036
Row Pooling n=5,2,0.4294324906250002,0.03960000000000008,7.920000000000016,7.21729962500001
grid 9x9,3,0.3581309966911329,0.05880800000000008,11.761600000000017,4.302369825571878
